Datum,Warengruppe,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,id,Umsatz,Wochentag,Monat,IstWochenende,Feiertag,Ferienzeit
2013-07-01,1,6.0,17.8375,15.0,20,0.0,1307011,148.828353112183,0,7,0,0,1
2013-07-01,2,6.0,17.8375,15.0,20,0.0,1307012,535.856284785361,0,7,0,0,1
2013-07-01,3,6.0,17.8375,15.0,20,0.0,1307013,201.198425690037,0,7,0,0,1
2013-07-01,4,6.0,17.8375,15.0,20,0.0,1307014,65.890168799361,0,7,0,0,1
2013-07-01,5,6.0,17.8375,15.0,20,0.0,1307015,317.475874933038,0,7,0,0,1
2013-07-01,6,6.0,17.8375,15.0,20,0.0,1307016,0.0,0,7,0,0,1
2013-07-02,1,3.0,17.3125,10.0,-1,0.0,1307021,159.79375714468,1,7,0,0,1
2013-07-02,2,3.0,17.3125,10.0,-1,0.0,1307022,546.780787392297,1,7,0,0,1
2013-07-02,3,3.0,17.3125,10.0,-1,0.0,1307023,265.261253994438,1,7,0,0,1
2013-07-02,4,3.0,17.3125,10.0,-1,0.0,1307024,74.5439171827412,1,7,0,0,1
2013-07-02,5,3.0,17.3125,10.0,-1,0.0,1307025,383.628681612577,1,7,0,0,1
2013-07-02,6,3.0,17.3125,10.0,-1,0.0,1307026,0.0,1,7,0,0,1
2013-07-03,1,7.0,21.075,6.0,61,0.0,1307031,111.885593514353,2,7,0,0,1
2013-07-03,2,7.0,21.075,6.0,61,0.0,1307032,427.343258749983,2,7,0,0,1
2013-07-03,3,7.0,21.075,6.0,61,0.0,1307033,210.260241465493,2,7,0,0,1
2013-07-03,4,7.0,21.075,6.0,61,0.0,1307034,69.2627280649987,2,7,0,0,1
2013-07-03,5,7.0,21.075,6.0,61,0.0,1307035,305.523072325318,2,7,0,0,1
2013-07-03,6,7.0,21.075,6.0,61,0.0,1307036,0.0,2,7,0,0,1
2013-07-04,1,7.0,18.85,7.0,20,0.0,1307041,168.864940979931,3,7,0,0,1
2013-07-04,2,7.0,18.85,7.0,20,0.0,1307042,454.859641347987,3,7,0,0,1
2013-07-04,3,7.0,18.85,7.0,20,0.0,1307043,190.686641378586,3,7,0,0,1
2013-07-04,4,7.0,18.85,7.0,20,0.0,1307044,61.490175369225,3,7,0,0,1
2013-07-04,5,7.0,18.85,7.0,20,0.0,1307045,308.408167942149,3,7,0,0,1
2013-07-04,6,7.0,18.85,7.0,20,0.0,1307046,0.0,3,7,0,0,1
2013-07-05,1,5.0,19.975,12.0,-1,0.0,1307051,171.280754117955,4,7,0,0,1
2013-07-05,2,5.0,19.975,12.0,-1,0.0,1307052,492.818804066088,4,7,0,0,1
2013-07-05,3,5.0,19.975,12.0,-1,0.0,1307053,181.644870215041,4,7,0,0,1
2013-07-05,4,5.0,19.975,12.0,-1,0.0,1307054,86.7598614451924,4,7,0,0,1
2013-07-05,5,5.0,19.975,12.0,-1,0.0,1307055,355.518770367742,4,7,0,0,1
2013-07-05,6,5.0,19.975,12.0,-1,0.0,1307056,0.0,4,7,0,0,1
2013-07-06,1,0.0,18.9625,8.0,-1,0.0,1307061,174.552359998476,5,7,1,0,1
2013-07-06,2,0.0,18.9625,8.0,-1,0.0,1307062,631.906068038484,5,7,1,0,1
2013-07-06,3,0.0,18.9625,8.0,-1,0.0,1307063,291.557959835153,5,7,1,0,1
2013-07-06,4,0.0,18.9625,8.0,-1,0.0,1307064,80.6465768881107,5,7,1,0,1
2013-07-06,5,0.0,18.9625,8.0,-1,0.0,1307065,361.866932797941,5,7,1,0,1
2013-07-06,6,0.0,18.9625,8.0,-1,0.0,1307066,0.0,5,7,1,0,1
2013-07-07,1,0.0,21.375,9.0,-1,0.0,1307071,92.6377553788373,6,7,1,0,1
2013-07-07,2,0.0,21.375,9.0,-1,0.0,1307072,695.25572963054,6,7,1,0,1
2013-07-07,3,0.0,21.375,9.0,-1,0.0,1307073,279.665938833443,6,7,1,0,1
2013-07-07,4,0.0,21.375,9.0,-1,0.0,1307074,94.6039024817053,6,7,1,0,1
2013-07-07,5,0.0,21.375,9.0,-1,0.0,1307075,370.20960108863,6,7,1,0,1
2013-07-07,6,0.0,21.375,9.0,-1,0.0,1307076,0.0,6,7,1,0,1
2013-07-08,1,0.0,22.725,10.0,5,0.0,1307081,135.500244042392,0,7,0,0,1
2013-07-08,2,0.0,22.725,10.0,5,0.0,1307082,538.529249911711,0,7,0,0,1
